date,fips,county,cases,deaths
2020-03-12,39095,Lucas,9.0,2.0
2020-03-13,39095,Lucas,14.0,2.0
2020-03-14,39095,Lucas,19.0,3.0
2020-03-15,39095,Lucas,25.0,3.0
2020-03-16,39095,Lucas,36.0,3.0
2020-03-17,39095,Lucas,44.0,3.0
2020-03-18,39095,Lucas,57.0,3.0
2020-03-19,39095,Lucas,65.0,3.0
2020-03-20,39095,Lucas,79.0,6.0
2020-03-21,39095,Lucas,85.0,6.0
2020-03-22,39095,Lucas,92.0,6.0
2020-03-23,39095,Lucas,110.0,7.0
2020-03-24,39095,Lucas,125.0,8.0
2020-03-25,39095,Lucas,138.0,9.0
2020-03-26,39095,Lucas,165.0,12.0
2020-03-27,39095,Lucas,186.0,12.0
2020-03-28,39095,Lucas,210.0,13.0
2020-03-29,39095,Lucas,234.0,14.0
2020-03-30,39095,Lucas,254.0,17.0
2020-03-31,39095,Lucas,283.0,19.0
2020-04-01,39095,Lucas,308.0,19.0
2020-04-02,39095,Lucas,336.0,20.0
2020-04-03,39095,Lucas,359.0,21.0
2020-04-04,39095,Lucas,373.0,22.0
2020-04-05,39095,Lucas,396.0,23.0
2020-04-06,39095,Lucas,420.0,23.0
2020-04-07,39095,Lucas,445.0,23.0
2020-04-08,39095,Lucas,472.0,25.0
2020-04-09,39095,Lucas,499.0,25.0
2020-04-10,39095,Lucas,516.0,25.0
2020-04-11,39095,Lucas,523.0,25.0
2020-04-12,39095,Lucas,534.0,25.0
2020-04-13,39095,Lucas,540.0,25.0
2020-01-21,39097,Madison,0.0,0.0
2020-01-22,39097,Madison,0.0,0.0
2020-01-23,39097,Madison,0.0,0.0
2020-01-24,39097,Madison,0.0,0.0
2020-01-25,39097,Madison,0.0,0.0
2020-01-26,39097,Madison,0.0,0.0
2020-01-27,39097,Madison,0.0,0.0
2020-01-28,39097,Madison,0.0,0.0
2020-01-29,39097,Madison,0.0,0.0
2020-01-30,39097,Madison,0.0,0.0
2020-01-31,39097,Madison,0.0,0.0
2020-02-01,39097,Madison,0.0,0.0
2020-02-02,39097,Madison,0.0,0.0
2020-02-03,39097,Madison,0.0,0.0
2020-02-04,39097,Madison,0.0,0.0
2020-02-05,39097,Madison,0.0,0.0
2020-02-06,39097,Madison,0.0,0.0
2020-02-07,39097,Madison,0.0,0.0
2020-02-08,39097,Madison,0.0,0.0
2020-02-09,39097,Madison,0.0,0.0
2020-02-10,39097,Madison,0.0,0.0
2020-02-11,39097,Madison,0.0,0.0
2020-02-12,39097,Madison,0.0,0.0
2020-02-13,39097,Madison,0.0,0.0
2020-02-14,39097,Madison,0.0,0.0
2020-02-15,39097,Madison,0.0,0.0
2020-02-16,39097,Madison,0.0,0.0
2020-02-17,39097,Madison,0.0,0.0
2020-02-18,39097,Madison,0.0,0.0
2020-02-19,39097,Madison,0.0,0.0
2020-02-20,39097,Madison,0.0,0.0
2020-02-21,39097,Madison,0.0,0.0
2020-02-22,39097,Madison,0.0,0.0
2020-02-23,39097,Madison,0.0,0.0
2020-02-24,39097,Madison,0.0,0.0
2020-02-25,39097,Madison,0.0,0.0
2020-02-26,39097,Madison,0.0,0.0
2020-02-27,39097,Madison,0.0,0.0
2020-02-28,39097,Madison,0.0,0.0
2020-02-29,39097,Madison,0.0,0.0
2020-03-01,39097,Madison,0.0,0.0
2020-03-02,39097,Madison,0.0,0.0
2020-03-03,39097,Madison,0.0,0.0
2020-03-04,39097,Madison,0.0,0.0
2020-03-05,39097,Madison,0.0,0.0
2020-03-06,39097,Madison,0.0,0.0
2020-03-07,39097,Madison,0.0,0.0
2020-03-08,39097,Madison,0.0,0.0
2020-03-09,39097,Madison,0.0,0.0
2020-03-10,39097,Madison,0.0,0.0
2020-03-11,39097,Madison,0.0,0.0
2020-03-12,39097,Madison,0.0,0.0
2020-03-13,39097,Madison,0.0,0.0
2020-03-14,39097,Madison,0.0,0.0
2020-03-15,39097,Madison,0.0,0.0
2020-03-16,39097,Madison,1.0,1.0
2020-03-17,39097,Madison,2.0,1.0
2020-03-18,39097,Madison,4.0,2.0
2020-03-19,39097,Madison,4.0,2.0
2020-03-20,39097,Madison,5.0,2.0
2020-03-21,39097,Madison,6.0,2.0
2020-03-22,39097,Madison,6.0,2.0
2020-03-23,39097,Madison,8.0,2.0
2020-03-24,39097,Madison,8.0,2.0
2020-03-25,39097,Madison,9.0,2.0
2020-03-26,39097,Madison,10.0,2.0
2020-03-27,39097,Madison,12.0,2.0
2020-03-28,39097,Madison,14.0,2.0
2020-03-29,39097,Madison,15.0,2.0
2020-03-30,39097,Madison,17.0,2.0
2020-03-31,39097,Madison,18.0,2.0
2020-04-01,39097,Madison,19.0,2.0
2020-04-02,39097,Madison,19.0,2.0
2020-04-03,39097,Madison,19.0,2.0
2020-04-04,39097,Madison,19.0,2.0
2020-04-05,39097,Madison,19.0,2.0
2020-04-06,39097,Madison,20.0,3.0
2020-04-07,39097,Madison,21.0,3.0
2020-04-08,39097,Madison,22.0,3.0
2020-04-09,39097,Madison,23.0,3.0
2020-04-10,39097,Madison,24.0,3.0
2020-04-11,39097,Madison,24.0,3.0
2020-04-12,39097,Madison,24.0,3.0
2020-04-13,39097,Madison,24.0,3.0
2020-01-21,39099,Mahoning,0.0,0.0
2020-01-22,39099,Mahoning,0.0,0.0
2020-01-23,39099,Mahoning,0.0,0.0
2020-01-24,39099,Mahoning,0.0,0.0
2020-01-25,39099,Mahoning,0.0,0.0
2020-01-26,39099,Mahoning,0.0,0.0
2020-01-27,39099,Mahoning,0.0,0.0
2020-01-28,39099,Mahoning,0.0,0.0
2020-01-29,39099,Mahoning,0.0,0.0
2020-01-30,39099,Mahoning,0.0,0.0
2020-01-31,39099,Mahoning,0.0,0.0
2020-02-01,39099,Mahoning,0.0,0.0
2020-02-02,39099,Mahoning,0.0,0.0
2020-02-03,39099,Mahoning,0.0,0.0
2020-02-04,39099,Mahoning,0.0,0.0
2020-02-05,39099,Mahoning,0.0,0.0
2020-02-06,39099,Mahoning,0.0,0.0
2020-02-07,39099,Mahoning,0.0,0.0
2020-02-08,39099,Mahoning,0.0,0.0
2020-02-09,39099,Mahoning,0.0,0.0
2020-02-10,39099,Mahoning,0.0,0.0
2020-02-11,39099,Mahoning,0.0,0.0
2020-02-12,39099,Mahoning,0.0,0.0
2020-02-13,39099,Mahoning,0.0,0.0
2020-02-14,39099,Mahoning,0.0,0.0
2020-02-15,39099,Mahoning,0.0,0.0
2020-02-16,39099,Mahoning,0.0,0.0
2020-02-17,39099,Mahoning,0.0,0.0
